id,City,State,District,Density,Latitude,Longitude,Rating,Number of Reviews,Hospital Name,info
Hospital #0,Anantpur,Andhra Pradesh,Ananthapuramu,219.608,14.696532573816466,77.5845696812239,4.1,229,Columbia Asia Hospital 1,Dr. Gupta (Dermatologist); Dr. Das (Pediatrician); Dr. Iyer (Oncologist); Dr. Nair (Orthopedic); Dr. Roy (Psychiatrist)
Hospital #1,Anantpur,Andhra Pradesh,Ananthapuramu,219.608,14.660634599686995,77.57934210631872,4.9,19172,Medanta Hospital 2,Dr. Reddy (Endocrinologist); Dr. Ahuja (Cardiologist); Dr. Verma (Neurologist); Dr. Singh (ENT Specialist); Dr. Gupta (Dermatologist)
Hospital #2,Chitoor,Andhra Pradesh,Chittoor,273.23,13.229217171761988,79.08447238508815,3.9,139,Primus Hospital 3,Dr. Singh (ENT Specialist); Dr. Reddy (Endocrinologist); Dr. Das (Pediatrician); Dr. Gupta (Dermatologist); Dr. Iyer (Oncologist)
Hospital #3,Chittoor,Andhra Pradesh,Chittoor,273.23,13.303435180892292,78.97211670732672,4.0,92,Paras Hospital 4,Dr. Iyer (Oncologist); Dr. Singh (ENT Specialist); Dr. Ahuja (Cardiologist); Dr. Verma (Neurologist); Dr. Das (Pediatrician)
Hospital #4,East Godavari,Andhra Pradesh,East Godavari,715.46,16.970994716195186,82.2303962455134,4.8,8090,Indraprastha Hospital 5,Dr. Iyer (Oncologist); Dr. Singh (ENT Specialist); Dr. Reddy (Endocrinologist); Dr. Verma (Neurologist); Dr. Nair (Orthopedic)
Hospital #5,East Godavari,Andhra Pradesh,East Godavari,715.46,16.33095886027219,80.4615551422084,4.4,467,Narayana Hospital 6,Dr. Nair (Orthopedic); Dr. Verma (Neurologist); Dr. Singh (ENT Specialist); Dr. Roy (Psychiatrist); Dr. Iyer (Oncologist)
Hospital #6,Guntur,Andhra Pradesh,Guntur,855.9,16.304665371173602,80.42615157785502,4.8,1121,Primus Hospital 7,Dr. Das (Pediatrician); Dr. Verma (Neurologist); Dr. Reddy (Endocrinologist); Dr. Roy (Psychiatrist); Dr. Gupta (Dermatologist)
Hospital #7,Guntur,Andhra Pradesh,Guntur,855.9,16.299439227373856,80.02127093796369,4.5,479,Manipal Hospital 8,Dr. Singh (ENT Specialist); Dr. Verma (Neurologist); Dr. Gupta (Dermatologist); Dr. Reddy (Endocrinologist); Dr. Das (Pediatrician)
Hospital #8,Guntur,Andhra Pradesh,Guntur,855.9,16.27782019913075,80.03962179597357,4.6,940,Columbia Asia Hospital 9,Dr. Reddy (Endocrinologist); Dr. Roy (Psychiatrist); Dr. Ahuja (Cardiologist); Dr. Mehta (Gastroenterologist); Dr. Singh (ENT Specialist)
Hospital #9,Guntur,Andhra Pradesh,Guntur,855.9,16.338983834280008,80.55891798770435,4.0,38,Artemis Hospital 10,Dr. Gupta (Dermatologist); Dr. Singh (ENT Specialist); Dr. Iyer (Oncologist); Dr. Reddy (Endocrinologist); Dr. Nair (Orthopedic)
Hospital #10,Guntur,Andhra Pradesh,Guntur,855.9,16.276937603022017,80.43699795995973,4.8,1989,Max Hospital 11,Dr. Roy (Psychiatrist); Dr. Iyer (Oncologist); Dr. Verma (Neurologist); Dr. Mehta (Gastroenterologist); Dr. Ahuja (Cardiologist)
